query_id,round,query,subquestion,results_count,quality_sources,notes
Q01,1,"vertical slice decomposition software development best practices 2025 2026",SQ1,10,3,"Good coverage of vertical slice principles"
Q02,1,"user story mapping Jeff Patton decomposition technique",SQ1,10,4,"Authoritative source on story mapping methodology"
Q03,1,"INVEST criteria user story automation heuristics sizing",SQ2,10,3,"Found IEEE research and automation approaches"
Q04,1,"dependency DAG construction requirements engineering software",SQ3,10,4,"Strong on build systems and DAG algorithms"
Q05,1,"LLM GPT requirements analysis decomposition accuracy 2024 2025",SQ4,10,3,"Found systematic literature review on LLM4RE"
Q06,1,"requirement decomposition failure modes anti-patterns agile",SQ5,10,4,"Rich anti-pattern documentation"
Q07,1,"SAFe epic feature story breakdown hierarchy scaled agile",SQ6,10,4,"Clear enterprise hierarchy patterns"
Q08,1,"story splitting patterns agile techniques SPIDR",SQ1,10,5,"SPIDR methodology well documented"
Q09,2,"topological sort algorithm incremental update DAG dependency graph",SQ3,10,4,"Found incremental algorithms O(m^3/2)"
Q10,2,"cycle detection directed graph Tarjan algorithm requirements",SQ3,10,3,"Tarjan's algorithm O(V+E)"
Q11,2,"NLP requirements traceability dependency extraction automated",SQ4,10,3,"BERT and few-shot approaches"
Q12,2,"requirement specification quality metrics measurable criteria",SQ2,10,4,"IEEE standards, SMART criteria"
Q13,2,"vertical slice vs horizontal slice requirements evidence study comparison",SQ1,10,2,"Practitioner evidence, no formal studies"
Q14,2,"LLM hallucination detection requirements engineering validation",SQ4,10,4,"MetaQA, self-consistency methods"
Q15,3,"agile decomposition failures lessons learned project post-mortem",SQ5,7,2,"Limited specific decomposition failures"
Q16,3,"dependency detection errors hidden dependencies integration failures",SQ5,10,2,"More about software deps than req deps"
Q17,3,"user story splitting when NOT to split anti-patterns",SQ5,7,5,"Excellent 10 anti-patterns documented"
Q18,3,"automated requirements analysis limitations human oversight needed",SQ4,10,4,"58% use AI but 54% human-AI collab"
